EmployeeID,Name,Department,Experience_Years,Education_Level,Age,Gender,City,Monthly_Salary,Previous_Month_Salary
1,Employee_1,Marketing,15,Master,53,Female,Delhi,111416,69760
2,Employee_2,Operations,7,Bachelor,25,Female,Bangalore,95271,78910
3,Employee_3,IT,12,High School,51,Female,Hyderabad,69064,56000
4,Employee_4,Operations,8,PhD,44,Male,Delhi,95091,88990
5,Employee_5,Operations,15,Master,36,Female,Delhi,132450,87900
6,Employee_6,Finance,3,High School,50,Male,Mumbai,65818,53400
7,Employee_7,IT,14,PhD,57,Male,Mumbai,70525,50000
8,Employee_8,IT,17,PhD,34,Female,Bangalore,44830,33590
9,Employee_9,IT,4,Bachelor,53,Male,Hyderabad,42429,40000
10,Employee_10,Operations,18,High School,28,Male,Mumbai,31893,29780
11,Employee_11,Marketing,8,PhD,43,Male,Delhi,141381,139780
12,Employee_12,IT,4,Master,49,Female,Hyderabad,104909,103569
13,Employee_13,Operations,2,Master,23,Female,Hyderabad,72333,70333
14,Employee_14,Finance,6,Bachelor,27,Male,Delhi,28436,27456
15,Employee_15,Marketing,10,PhD,49,Female,Mumbai,99290,97654
16,Employee_16,Finance,4,High School,49,Female,Delhi,101213,101100
17,Employee_17,Marketing,18,Master,41,Female,Hyderabad,30895,29806
18,Employee_18,Operations,12,PhD,51,Female,Chennai,44738,43567
19,Employee_19,HR,2,PhD,32,Male,Chennai,55746,53470
20,Employee_20,Marketing,10,Bachelor,49,Male,Bangalore,74377,73490
21,Employee_21,Finance,4,Master,46,Female,Delhi,73404,74580
22,Employee_22,Operations,14,Master,54,Female,Delhi,79045,79000
23,Employee_23,Marketing,16,High School,22,Male,Bangalore,122888,120000
24,Employee_24,HR,15,Master,48,Male,Bangalore,64790,62345
25,Employee_25,HR,8,High School,34,Female,Bangalore,132455,130450
26,Employee_26,IT,14,Master,24,Male,Hyderabad,30600,29700
27,Employee_27,IT,8,Bachelor,27,Female,Delhi,119660,118900
28,Employee_28,Finance,16,Master,29,Female,Hyderabad,118179,116897
29,Employee_29,Marketing,13,High School,48,Male,Bangalore,65764,60360
30,Employee_30,Marketing,18,High School,30,Male,Delhi,99543,95670
31,Employee_31,IT,15,Bachelor,54,Female,Hyderabad,70714,65489
32,Employee_32,Marketing,13,Master,45,Female,Hyderabad,81835,75690
33,Employee_33,Marketing,9,Master,36,Male,Bangalore,127946,120800
34,Employee_34,HR,15,Bachelor,53,Female,Delhi,134616,130000
35,Employee_35,IT,13,Master,53,Male,Bangalore,130983,129100
36,Employee_36,Operations,1,Master,45,Female,Delhi,98744,95000
37,Employee_37,IT,7,High School,33,Male,Chennai,81491,80000
38,Employee_38,Operations,9,Master,23,Male,Mumbai,,149000
39,Employee_39,HR,1,Master,24,Male,Mumbai,43589,40900
40,Employee_40,Finance,12,Bachelor,38,Female,Mumbai,68484,65790
40,Employee_41,Marketing,8,Bachelor,23,Female,Bangalore,107989,105000
42,Employee_42,HR,11,PhD,23,Male,Chennai,61212,60900
43,Employee_43,Marketing,19,High School,49,Female,Delhi,68525,65790
44,Employee_44,Finance,17,Master,44,Male,Hyderabad,72202,70000
45,Employee_45,Finance,8,Master,53,Male,Delhi,57635,55000
46,Employee_46,HR,3,PhD,54,Female,Hyderabad,88208,86000
47,Employee_47,Finance,3,Master,22,Female,Delhi,58828,55000
48,Employee_48,Operations,1,High School,40,Male,Chennai,43711,40000
49,Employee_49,Finance,5,PhD,23,Female,Hyderabad,28420,25000
50,Employee_50,Marketing,10,High School,47,Female,Bangalore,121752,119890
